enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_development_index_cat
13408,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,1,26,0.0,3
19312,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,500-999,Pvt Ltd,>4,46,0.0,6
8855,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,>4,106,0.0,6
28091,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,57,0.0,6
31324,city_128,0.527,,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,63,0.0,2
36,city_10,0.895,Male,No relevent experience,no_enrollment,,,3,<10,Pvt Ltd,2,4,0.0,5
26155,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,17,1000-4999,Pvt Ltd,1,20,0.0,6
972,city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,3,<10,Funded Startup,1,10,1.0,5
10876,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,67,0.0,5
25239,city_141,0.763,,Has relevent experience,Full time course,Graduate,STEM,7,50-99,,>4,117,0.0,4
22830,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,4,37,0.0,6
24089,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,10/49,Pvt Ltd,1,16,1.0,3
11892,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Early Stage Startup,1,52,0.0,5
17340,city_176,0.764,,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Early Stage Startup,1,7,0.0,4
30075,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,5,,,1,74,1.0,2
1804,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,never,22,1.0,3
7048,city_7,0.647,,Has relevent experience,no_enrollment,Masters,STEM,5,1000-4999,Pvt Ltd,4,21,0.0,3
7374,city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,2,77,0.0,4
10125,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Business Degree,2,100-500,NGO,1,7,0.0,6
18121,city_39,0.898,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,1,10,0.0,5
13325,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,107,0.0,3
24452,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,1,106,0.0,6
7244,city_41,0.8270000000000001,Male,Has relevent experience,Part time course,High School,,3,100-500,NGO,>4,116,0.0,5
20222,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,6,,,1,82,1.0,6
26687,city_114,0.926,Female,No relevent experience,no_enrollment,Masters,STEM,6,<10,Public Sector,>4,4,0.0,6
29905,city_136,0.897,Female,Has relevent experience,no_enrollment,Masters,STEM,12,,,>4,35,0.0,5
33150,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,never,4,1.0,6
20681,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,4,15,0.0,6
28659,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,1,3,0.0,6
3077,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Funded Startup,1,51,0.0,6
32108,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Pvt Ltd,1,70,0.0,6
25340,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,never,147,0.0,6
4008,city_114,0.926,Male,Has relevent experience,Full time course,Masters,Other,10,50-99,Public Sector,4,28,0.0,6
32053,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,80,1.0,3
31920,city_83,0.923,Male,No relevent experience,Full time course,Masters,STEM,4,,,1,83,0.0,6
9684,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,17,<10,Early Stage Startup,1,42,0.0,5
663,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,212,0.0,6
19012,city_116,0.743,Male,Has relevent experience,Full time course,High School,,7,50-99,NGO,1,29,0.0,4
15743,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,48,0.0,5
26766,city_61,0.913,,Has relevent experience,Full time course,Graduate,STEM,13,50-99,Pvt Ltd,1,42,0.0,6
7331,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,10,,,>4,7,1.0,6
23633,city_150,0.698,Male,No relevent experience,Full time course,Phd,STEM,>20,10000+,Public Sector,>4,3,0.0,3
19091,city_41,0.8270000000000001,Male,Has relevent experience,Full time course,High School,,4,5000-9999,Pvt Ltd,1,6,1.0,5
31148,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,1,86,0.0,6
13617,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,190,0.0,6
15012,city_144,0.84,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,Other,1,34,0.0,5
8606,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,1,20,0.0,6
23440,city_67,0.855,,No relevent experience,no_enrollment,High School,,1,,,never,96,0.0,5
19646,city_16,0.91,Female,No relevent experience,no_enrollment,Graduate,No Major,1,5000-9999,,never,6,0.0,6
14400,city_70,0.698,,Has relevent experience,,,,3,,,1,17,1.0,3
29639,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,6,1000-4999,Pvt Ltd,1,130,1.0,5
25123,city_158,0.7659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,never,106,0.0,4
17594,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,4,50-99,Public Sector,1,36,0.0,6
22897,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,<1,,,2,8,1.0,6
8212,city_21,0.624,Male,No relevent experience,Full time course,High School,,9,,,never,48,1.0,3
24765,city_100,0.887,,No relevent experience,Full time course,High School,,4,,,1,210,0.0,5
8261,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,1,47,0.0,2
9435,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,4,10000+,Pvt Ltd,1,22,0.0,6
24893,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Funded Startup,2,42,1.0,6
17095,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,3,21,0.0,3
30455,city_91,0.691,,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,6,0.0,3
33235,city_21,0.624,Male,No relevent experience,Full time course,High School,,4,,,never,74,1.0,3
177,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,>4,51,1.0,3
4196,city_160,0.92,,No relevent experience,Full time course,High School,,1,,,never,67,0.0,6
1006,city_91,0.691,Male,Has relevent experience,Full time course,Graduate,STEM,1,,,1,9,1.0,3
25287,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10/49,,1,102,0.0,5
5271,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,67,0.0,5
28359,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,No Major,>20,,,>4,8,0.0,6
15857,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,119,0.0,6
16771,city_126,0.479,,Has relevent experience,Full time course,,,2,100-500,Early Stage Startup,1,48,1.0,1
23174,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,<1,,,,61,1.0,6
15736,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,1,,,never,83,0.0,6
26459,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Funded Startup,,35,0.0,3
11863,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,16,1000-4999,Pvt Ltd,1,30,0.0,6
11156,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,1,322,0.0,6
26639,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,NGO,1,13,0.0,3
6646,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,10,10000+,Pvt Ltd,1,26,0.0,5
438,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,77,0.0,6
24488,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,98,0.0,5
28580,city_46,0.762,Female,Has relevent experience,Part time course,Masters,STEM,6,,,3,41,0.0,4
27110,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,8,5000-9999,,never,196,1.0,5
31220,city_83,0.923,,No relevent experience,Full time course,Graduate,STEM,3,,,never,102,0.0,6
19511,city_10,0.895,Male,Has relevent experience,Part time course,Graduate,STEM,10,<10,Pvt Ltd,1,72,0.0,5
20203,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,15,<10,Pvt Ltd,1,76,0.0,5
16923,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,5,,Public Sector,1,112,1.0,6
16933,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,184,0.0,6
12393,city_152,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Funded Startup,>4,4,0.0,3
21545,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,2,84,1.0,3
32428,city_21,0.624,,Has relevent experience,Full time course,Masters,STEM,20,50-99,,1,16,1.0,3
28339,city_36,0.893,Male,Has relevent experience,Part time course,Graduate,STEM,12,5000-9999,Pvt Ltd,2,34,0.0,5
1565,city_103,0.92,Male,No relevent experience,Full time course,High School,,6,,NGO,never,56,0.0,6
6105,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,,,1,43,0.0,6
16121,city_103,0.92,,Has relevent experience,Part time course,Graduate,STEM,4,50-99,Pvt Ltd,1,163,1.0,6
6870,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,>4,36,1.0,3
17240,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,1,36,0.0,6
10136,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Humanities,13,500-999,Pvt Ltd,2,143,0.0,6
22112,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,1,8,0.0,6
606,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10/49,Pvt Ltd,1,10,0.0,6
31820,city_21,0.624,,No relevent experience,no_enrollment,Masters,STEM,2,50-99,Early Stage Startup,1,10,1.0,3
30637,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,2,31,0.0,6
4034,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,11,0.0,6
15926,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,1,26,0.0,5
29607,city_104,0.924,,Has relevent experience,no_enrollment,Graduate,Arts,10,10/49,Pvt Ltd,1,43,0.0,6
9788,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Funded Startup,1,26,0.0,6
4858,city_33,0.4479999999999999,,No relevent experience,Part time course,Masters,Other,2,<10,NGO,1,23,1.0,1
13311,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,6,5000-9999,Pvt Ltd,2,26,0.0,6
27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1.0,3
6546,city_150,0.698,,No relevent experience,no_enrollment,Masters,STEM,13,50-99,Public Sector,>4,18,0.0,3
19902,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,,,1,148,1.0,6
32463,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,3,10,0.0,5
2386,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,16,0.0,3
18376,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,,1,60,0.0,6
19781,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,1,13,0.0,5
6438,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,118,1.0,6
7072,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,4,167,0.0,6
22598,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,,,1,6,0.0,6
26959,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,2,266,0.0,5
5027,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,78,0.0,6
5801,city_61,0.913,,Has relevent experience,no_enrollment,High School,,8,100-500,NGO,1,20,0.0,6
22357,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Funded Startup,1,32,1.0,6
26201,city_103,0.92,,Has relevent experience,no_enrollment,Masters,Humanities,13,500-999,Public Sector,>4,182,0.0,6
1580,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,1,,,never,4,0.0,6
378,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,18,0.0,6
32063,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,>4,18,0.0,6
1922,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,>4,88,1.0,3
1854,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,14,0.0,6
16803,city_114,0.926,Male,No relevent experience,no_enrollment,Phd,STEM,4,5000-9999,Public Sector,1,54,0.0,6
3552,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,16,<10,Pvt Ltd,never,66,0.0,6
12828,city_114,0.926,Male,No relevent experience,Part time course,Masters,STEM,13,50-99,Public Sector,never,52,0.0,6
32082,city_100,0.887,Female,No relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,218,0.0,5
13422,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,48,0.0,5
4837,city_114,0.926,,No relevent experience,Full time course,Masters,STEM,8,10/49,Pvt Ltd,>4,9,1.0,6
18243,city_67,0.855,Male,Has relevent experience,Full time course,Graduate,STEM,15,,,1,78,0.0,5
27007,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,,,1,13,1.0,6
22385,city_152,0.698,,Has relevent experience,Full time course,Masters,STEM,12,,,1,44,0.0,3
18236,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,1,32,0.0,6
3235,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,9,,Pvt Ltd,never,68,0.0,6
24828,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Public Sector,>4,6,0.0,6
6288,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,8,500-999,Pvt Ltd,1,12,0.0,6
5357,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,14,0.0,3
26168,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,1,9,1.0,3
5929,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,4,56,0.0,6
3201,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,50-99,NGO,>4,54,0.0,6
9698,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,143,0.0,6
16095,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,7,<10,Pvt Ltd,>4,125,0.0,6
17458,city_101,0.5579999999999999,,No relevent experience,no_enrollment,Masters,Humanities,4,,,1,46,1.0,2
9653,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,66,0.0,6
8902,city_103,0.92,Male,No relevent experience,no_enrollment,,,1,,,never,25,0.0,6
6979,city_65,0.802,,Has relevent experience,no_enrollment,High School,,11,,,1,85,0.0,5
31048,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,10,<10,Pvt Ltd,1,48,0.0,5
28820,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,32,1.0,3
28125,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,42,0.0,6
18085,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,1,20,1.0,5
19465,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,16,10/49,Pvt Ltd,3,91,1.0,3
25708,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,6,50-99,NGO,1,51,1.0,6
13636,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10/49,Early Stage Startup,1,16,0.0,6
8633,city_16,0.91,Male,No relevent experience,Full time course,High School,,5,,,1,67,1.0,6
2363,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,302,1.0,6
5165,city_21,0.624,,No relevent experience,no_enrollment,Masters,STEM,3,,Pvt Ltd,never,2,0.0,3
26234,city_114,0.926,Female,No relevent experience,Part time course,High School,,3,10/49,Public Sector,1,28,1.0,6
3762,city_16,0.91,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,<10,Pvt Ltd,>4,144,0.0,6
1516,city_41,0.8270000000000001,,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,,1,56,0.0,5
1364,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,20,100-500,Pvt Ltd,3,39,0.0,6
9624,city_136,0.897,Female,No relevent experience,no_enrollment,Phd,Humanities,19,100-500,NGO,1,74,0.0,5
16769,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,67,0.0,6
7431,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,10/49,Pvt Ltd,1,21,1.0,6
8862,city_89,0.925,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,>4,162,1.0,6
4981,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,1,128,1.0,4
21242,city_75,0.939,Female,No relevent experience,Full time course,Masters,STEM,1,,Other,1,17,0.0,6
2395,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,46,0.0,3
28739,city_16,0.91,Male,No relevent experience,Full time course,High School,,2,<10,Other,1,9,0.0,6
31086,city_67,0.855,Male,No relevent experience,no_enrollment,High School,,5,,,1,57,0.0,5
4673,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,3,18,0.0,5
8642,city_100,0.887,,No relevent experience,no_enrollment,High School,,1,,,never,45,0.0,5
5821,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,26,0.0,5
27783,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,50-99,Pvt Ltd,1,66,0.0,6
21665,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,18,0.0,6
32884,city_19,0.682,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,21,1.0,3
6365,city_74,0.579,Male,No relevent experience,no_enrollment,Graduate,STEM,6,<10,Funded Startup,never,8,0.0,2
12673,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,,8,100-500,Pvt Ltd,>4,110,0.0,5
11180,city_105,0.794,Male,Has relevent experience,no_enrollment,High School,,9,50-99,,>4,104,0.0,4
30676,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,53,0.0,6
14430,city_21,0.624,,Has relevent experience,no_enrollment,High School,,3,10/49,Early Stage Startup,,118,1.0,3
8025,city_45,0.89,,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,46,0.0,5
6846,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,2,10,1.0,3
1596,city_103,0.92,,No relevent experience,no_enrollment,Graduate,No Major,<1,50-99,Pvt Ltd,,180,0.0,6
