enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
1194,city_114,0.926,Male,No relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,39,0.0
28193,city_13,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Public Sector,1,6,0.0
28401,city_74,0.579,,Has relevent experience,Part time course,High School,,4,50-99,Pvt Ltd,2,43,0.0
169,city_98,0.949,,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,,62,0.0
31660,city_73,0.754,Male,Has relevent experience,Full time course,Masters,STEM,9,,,2,29,0.0
28590,city_16,0.91,Male,Has relevent experience,,Masters,STEM,6,50-99,Funded Startup,1,72,0.0
20491,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,1,16,1.0
27472,city_94,0.698,,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,1.0
24816,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,13,1000-4999,Public Sector,2,62,0.0
11284,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,1,19,0.0
12499,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,>4,70,0.0
12964,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Pvt Ltd,3,134,1.0
28033,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Early Stage Startup,1,182,0.0
12918,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,8,5000-9999,Public Sector,4,31,0.0
16211,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11,,,4,82,1.0
13507,city_16,0.91,Other,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,13,0.0
16926,city_114,0.926,,No relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,1,264,0.0
28755,city_100,0.887,Male,No relevent experience,no_enrollment,High School,,2,,,1,40,0.0
7238,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,10,,,never,24,1.0
17895,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,Other,,10000+,,never,204,1.0
28459,city_167,0.921,Male,Has relevent experience,no_enrollment,High School,,14,100-500,Pvt Ltd,1,26,0.0
30613,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,,,1,9,1.0
13177,city_40,0.7759999999999999,,No relevent experience,Full time course,High School,,4,1000-4999,Pvt Ltd,never,54,1.0
28830,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,,,never,21,1.0
4803,city_114,0.926,Male,No relevent experience,Full time course,High School,,3,,,1,7,1.0
12277,city_123,0.738,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Funded Startup,1,47,0.0
20350,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,134,0.0
1485,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,,15,50-99,Pvt Ltd,>4,42,0.0
28239,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,2,28,1.0
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0
27839,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,2,62,0.0
1577,city_103,0.92,Male,Has relevent experience,Full time course,Masters,STEM,6,,,1,15,1.0
15112,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,47,1.0
20808,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,2,246,0.0
16283,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,42,1.0
19090,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,16,0.0
8399,city_103,0.92,Male,Has relevent experience,no_enrollment,Primary School,,>20,100-500,Pvt Ltd,>4,19,1.0
12178,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,168,1.0
22389,city_103,0.92,Female,Has relevent experience,Full time course,Masters,STEM,10,1000-4999,Public Sector,1,20,1.0
17742,city_150,0.698,,No relevent experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,2,44,0.0
754,city_11,0.55,Male,No relevent experience,Full time course,Graduate,Humanities,2,,,1,33,1.0
5791,city_75,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,30,0.0
4176,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,20,1.0
28639,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,4,42,0.0
24874,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,3,10000+,,3,210,0.0
15886,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,21,0.0
19495,city_104,0.924,,No relevent experience,Full time course,,,2,<10,Early Stage Startup,never,84,0.0
16650,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,NGO,1,20,0.0
2088,city_89,0.925,,No relevent experience,Full time course,Graduate,STEM,9,,,never,34,0.0
4865,city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,>4,10,0.0
12260,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,,1,216,0.0
481,city_1,0.847,Male,No relevent experience,Full time course,High School,,9,,,1,60,0.0
27729,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,Other,1,172,0.0
17445,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,>4,78,0.0
8985,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,222,0.0
33102,city_61,0.913,Male,No relevent experience,Full time course,Masters,STEM,4,,,1,23,1.0
29598,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,,,1,65,1.0
27354,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,3,,,1,34,1.0
1729,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,,2,28,0.0
17750,city_103,0.92,,No relevent experience,Full time course,,,5,10/49,,4,48,0.0
10292,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,9,0.0
10635,city_176,0.764,,No relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,>4,14,0.0
32288,city_103,0.92,,Has relevent experience,Full time course,High School,,9,,,4,56,0.0
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0
17704,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,3,,,never,90,0.0
22082,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,96,0.0
3537,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,1,98,0.0
27786,city_100,0.887,Male,No relevent experience,no_enrollment,High School,,4,,,never,37,0.0
27511,city_103,0.92,,Has relevent experience,no_enrollment,Phd,Humanities,>20,,,>4,108,0.0
21448,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,never,84,1.0
23022,city_97,0.925,Male,No relevent experience,Full time course,Graduate,STEM,6,,,2,6,1.0
30833,city_21,0.624,Male,No relevent experience,Full time course,High School,,2,,,never,28,1.0
22160,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,NGO,3,18,0.0
10965,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,<10,,1,56,0.0
20657,city_114,0.926,,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,1,96,0.0
30676,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,53,0.0
24454,city_21,0.624,,No relevent experience,Full time course,High School,,3,,,never,32,0.0
4394,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,46,0.0
11673,city_67,0.855,Male,Has relevent experience,Part time course,Masters,STEM,1,10000+,Pvt Ltd,1,47,0.0
25936,city_16,0.91,Male,No relevent experience,no_enrollment,Primary School,,2,,,never,14,0.0
29251,city_166,0.649,,Has relevent experience,Full time course,,,5,<10,Other,,188,0.0
21484,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,10,0.0
3984,city_103,0.92,Male,Has relevent experience,Full time course,High School,,8,100-500,Pvt Ltd,1,276,0.0
23722,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,4,210,0.0
27341,city_160,0.92,,No relevent experience,Part time course,Graduate,STEM,5,,,never,78,1.0
6306,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Pvt Ltd,>4,90,0.0
12006,city_149,0.6890000000000001,,No relevent experience,Part time course,Graduate,STEM,2,,,1,23,1.0
767,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,2,218,0.0
31013,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,17,50-99,Funded Startup,2,8,0.0
26040,city_73,0.754,,No relevent experience,no_enrollment,High School,,6,,,1,148,1.0
20599,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,45,0.0
26776,city_145,0.555,,No relevent experience,Part time course,Graduate,STEM,<1,,,1,58,0.0
812,city_46,0.762,Male,Has relevent experience,Part time course,Masters,STEM,19,,,1,31,1.0
28064,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,156,1.0
8475,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,never,66,0.0
7668,city_10,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,Pvt Ltd,2,136,0.0
3625,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,50-99,Pvt Ltd,1,30,0.0
13510,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,>4,2,0.0
5581,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,>4,56,0.0
15070,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,152,0.0
22443,city_89,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,3,16,0.0
2670,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,10,0.0
3645,city_173,0.878,,No relevent experience,Full time course,High School,,5,,,never,8,0.0
4130,city_57,0.866,Other,Has relevent experience,Full time course,Masters,STEM,10,500-999,Pvt Ltd,>4,36,0.0
17964,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,20,500-999,Pvt Ltd,1,31,0.0
30211,city_145,0.555,Male,No relevent experience,Part time course,Graduate,STEM,<1,,,1,42,0.0
29150,city_114,0.926,Female,No relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,never,104,0.0
9101,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Public Sector,2,50,0.0
64,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,3,188,0.0
3025,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,18,100-500,Early Stage Startup,>4,166,0.0
31611,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,44,1.0
3367,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,<10,Pvt Ltd,1,240,0.0
2705,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,10,500-999,Pvt Ltd,1,113,0.0
25453,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0
17206,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,16,,,1,22,0.0
26248,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,2,96,0.0
24705,city_50,0.8959999999999999,Female,No relevent experience,Part time course,High School,,<1,<10,,1,22,0.0
3015,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,91,0.0
11496,city_114,0.926,Male,No relevent experience,Full time course,Primary School,,5,,,never,52,0.0
8978,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,78,0.0
27374,city_20,0.7959999999999999,Male,No relevent experience,Full time course,High School,,4,1000-4999,,1,53,0.0
17936,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,19,,,3,144,0.0
7222,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,9,0.0
29713,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,3,31,1.0
6497,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,13,0.0
30011,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,2,48,0.0
13661,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,High School,,11,5000-9999,Pvt Ltd,1,26,1.0
31544,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,1,10,0.0
24749,city_142,0.727,,Has relevent experience,no_enrollment,Masters,STEM,7,,,1,50,1.0
6145,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,,2,256,0.0
18001,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,,1,38,0.0
27428,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,Humanities,10,,,2,80,0.0
4051,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,20,0.0
14747,city_36,0.893,Male,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,30,0.0
4845,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,19,10000+,Public Sector,1,124,1.0
33242,city_73,0.754,Male,No relevent experience,Part time course,Graduate,STEM,8,<10,Early Stage Startup,1,50,0.0
17695,city_103,0.92,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Public Sector,4,31,0.0
20866,city_59,0.775,,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,12,0.0
30704,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Other,>4,30,0.0
20616,city_162,0.767,Female,Has relevent experience,no_enrollment,Masters,STEM,17,,,3,10,1.0
22205,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,2,160,0.0
32791,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,2,82,0.0
14216,city_21,0.624,,No relevent experience,no_enrollment,Graduate,Other,2,100-500,Pvt Ltd,1,40,1.0
14957,city_103,0.92,,No relevent experience,,,,2,,,never,68,0.0
22923,city_104,0.924,Male,No relevent experience,Full time course,,,6,,,2,21,0.0
10983,city_16,0.91,,Has relevent experience,no_enrollment,,,5,5000-9999,Public Sector,4,214,0.0
8152,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,2,26,1.0
7806,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,,,>4,23,0.0
7244,city_41,0.8270000000000001,Male,Has relevent experience,Part time course,High School,,3,100-500,NGO,>4,116,0.0
33017,city_41,0.8270000000000001,Male,No relevent experience,Full time course,High School,,<1,,,never,73,0.0
13425,city_136,0.897,Female,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,,1,19,0.0
33229,city_114,0.926,Female,Has relevent experience,no_enrollment,Masters,Humanities,9,,,1,44,0.0
7634,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,145,0.0
20454,city_21,0.624,Female,No relevent experience,no_enrollment,Graduate,STEM,2,,,1,30,1.0
30339,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,Pvt Ltd,never,11,0.0
14258,city_160,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,12,,,1,6,1.0
18176,city_97,0.925,,No relevent experience,no_enrollment,Masters,Humanities,1,500-999,,never,13,0.0
7268,city_114,0.926,,No relevent experience,no_enrollment,Primary School,,1,,,never,57,0.0
4840,city_136,0.897,Male,No relevent experience,Part time course,High School,,4,,Pvt Ltd,never,157,0.0
7358,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,1,50,0.0
20879,city_28,0.939,,No relevent experience,Part time course,High School,,4,100-500,,never,7,0.0
30950,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,6,0.0
32206,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,2,50-99,Pvt Ltd,2,43,0.0
7412,city_104,0.924,Male,No relevent experience,Full time course,High School,,1,50-99,Pvt Ltd,1,39,0.0
16131,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,90,0.0
17783,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,2,11,0.0
11763,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,322,0.0
20541,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,,1,37,1.0
13990,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,Funded Startup,2,125,0.0
9625,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,67,0.0
16191,city_91,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,>4,40,1.0
4022,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Early Stage Startup,never,314,0.0
14485,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,5,50-99,Pvt Ltd,2,23,0.0
33326,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,21,0.0
4501,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,42,0.0
28912,city_28,0.939,Male,Has relevent experience,Part time course,High School,,13,100-500,Pvt Ltd,2,12,0.0
3682,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,,Pvt Ltd,>4,85,0.0
22067,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,>4,107,0.0
25410,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,74,1.0
32002,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,13,,,>4,126,1.0
273,city_21,0.624,Male,No relevent experience,Full time course,High School,,5,,,never,18,0.0
8436,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Funded Startup,1,68,0.0
4981,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,1,128,1.0
14523,city_145,0.555,,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,124,1.0
25352,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,,1,118,0.0
30825,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,2,10000+,,never,34,0.0
14432,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,4,306,0.0
1056,city_23,0.899,Male,Has relevent experience,no_enrollment,High School,,9,100-500,Funded Startup,1,134,0.0
6196,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,163,0.0
21098,city_45,0.89,,No relevent experience,Full time course,Graduate,STEM,4,,,1,107,1.0
18457,city_44,0.725,Male,Has relevent experience,,Graduate,STEM,6,<10,Pvt Ltd,3,13,0.0
24038,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Other,6,,,1,58,1.0
26261,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Public Sector,>4,7,1.0
27377,city_173,0.878,,No relevent experience,Part time course,Masters,STEM,>20,500-999,NGO,never,6,0.0
23960,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,70,0.0
25843,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,10,,,2,8,0.0
5856,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,NGO,>4,36,0.0
2407,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,20,0.0
18189,city_90,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,4,15,0.0
13844,city_114,0.926,,No relevent experience,Full time course,Graduate,STEM,15,10000+,Pvt Ltd,>4,156,0.0
4118,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,,1,44,0.0
2265,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,5,0.0
13577,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,3,18,1.0
3500,city_103,0.92,Other,No relevent experience,Part time course,High School,,6,50-99,Funded Startup,1,54,0.0
5041,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,292,0.0
17368,city_21,0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,1,111,1.0
15701,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,140,0.0
5414,city_71,0.884,Male,Has relevent experience,Full time course,High School,,8,,,never,74,0.0
21537,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,62,1.0
17861,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,,,1,34,1.0
7047,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,500-999,Pvt Ltd,1,70,1.0
14579,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,never,99,0.0
22044,city_46,0.762,,Has relevent experience,,Graduate,STEM,7,,,never,35,0.0
1455,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,5,0.0
25511,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Pvt Ltd,2,68,0.0
15715,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,69,0.0
10396,city_160,0.92,,Has relevent experience,no_enrollment,,,4,100-500,Pvt Ltd,1,206,0.0
20617,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,6,<10,Pvt Ltd,>4,14,0.0
13547,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,4,100-500,Pvt Ltd,1,44,0.0
7185,city_21,0.624,,Has relevent experience,Full time course,Masters,STEM,5,500-999,Pvt Ltd,2,55,0.0
20317,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,47,0.0
8118,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,,3,128,0.0
565,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,19,,,>4,100,1.0
11026,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Other,1,134,0.0
11142,city_138,0.836,Male,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,104,0.0
4685,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,15,10/49,Funded Startup,1,66,1.0
27138,city_98,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,13,50-99,,>4,28,0.0
31985,city_114,0.926,Other,Has relevent experience,Part time course,High School,,3,1000-4999,Pvt Ltd,never,34,0.0
33232,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,never,51,0.0
21282,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Pvt Ltd,1,56,1.0
29839,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,<1,,,1,42,1.0
29761,city_160,0.92,Male,No relevent experience,Full time course,Graduate,Other,3,,,never,13,1.0
6688,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,82,0.0
32927,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Public Sector,3,166,0.0
33055,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,3,40,1.0
