,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
17189,19587,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,1,116,1.0
15988,26377,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,13,,,>4,57,0.0
6019,1557,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,31,0.0
7620,10906,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,1,91,0.0
14652,29614,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Funded Startup,1,180,0.0
18206,30206,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,26,1.0
14144,3125,city_104,0.924,,Has relevent experience,Part time course,Graduate,STEM,9,<10,Early Stage Startup,never,60,0.0
1895,19049,city_44,0.725,,No relevent experience,Full time course,Masters,STEM,8,,,1,27,0.0
16331,2168,city_89,0.925,,No relevent experience,Full time course,Graduate,STEM,2,100-500,NGO,1,4,0.0
3743,25437,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,46,0.0
5038,4296,city_71,0.884,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10/49,Funded Startup,>4,58,0.0
12071,18465,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,1,133,0.0
13105,23858,city_11,0.55,Male,No relevent experience,no_enrollment,Graduate,STEM,8,,,1,57,0.0
11433,4800,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,500-999,Pvt Ltd,never,4,1.0
11816,13686,city_105,0.794,Male,Has relevent experience,Part time course,Graduate,STEM,8,100-500,Pvt Ltd,2,22,0.0
12924,20955,city_39,0.898,Male,No relevent experience,Full time course,Graduate,STEM,3,,,1,8,0.0
9634,1580,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,1,,,never,4,0.0
11333,5462,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,Business Degree,15,,,>4,76,0.0
3514,3936,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,32,1.0
17184,23014,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,4,28,0.0
16876,4719,city_80,0.847,,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,67,0.0
9595,7434,city_75,0.939,Female,Has relevent experience,Part time course,Graduate,STEM,15,500-999,Pvt Ltd,1,44,0.0
7816,28855,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,,10,10000+,Pvt Ltd,3,14,0.0
279,22689,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,4,42,0.0
479,15279,city_103,0.92,,No relevent experience,,,,1,,,never,30,0.0
5642,27505,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,100,0.0
8991,7673,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,17,0.0
18757,21060,city_138,0.836,Male,No relevent experience,Full time course,Graduate,STEM,8,500-999,Pvt Ltd,1,7,0.0
10058,10832,city_73,0.754,Male,No relevent experience,no_enrollment,Phd,STEM,>20,10000+,Public Sector,>4,26,0.0
2924,11418,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,16,,,1,28,0.0
6278,15183,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,36,0.0
12448,27632,city_53,0.74,,Has relevent experience,no_enrollment,Graduate,No Major,10,<10,Early Stage Startup,1,52,0.0
2575,27085,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,1,74,0.0
7400,26230,city_104,0.924,Male,Has relevent experience,no_enrollment,Phd,Other,>20,10000+,Pvt Ltd,>4,12,0.0
6131,25385,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,24,0.0
14745,8966,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Other,1,90,0.0
3069,19268,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,1,113,0.0
3096,22871,city_131,0.68,Male,No relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,Pvt Ltd,2,32,0.0
14863,9389,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,>4,51,0.0
15537,22346,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,Pvt Ltd,1,66,0.0
1951,33013,city_102,0.804,Male,No relevent experience,Full time course,High School,,6,10/49,Early Stage Startup,1,43,0.0
18791,20500,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,2,28,0.0
12704,30668,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,106,0.0
19095,15806,city_165,0.903,,No relevent experience,no_enrollment,,,3,,Public Sector,never,62,0.0
13606,26383,city_123,0.738,Male,No relevent experience,no_enrollment,Graduate,STEM,2,,,never,13,0.0
15903,3981,city_103,0.92,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,2,23,0.0
4106,21458,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,1,100-500,Pvt Ltd,1,133,1.0
13161,12842,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,7,,,never,58,0.0
12729,19615,city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,5,,NGO,1,53,0.0
13253,21153,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,4,38,0.0
16235,28745,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,90,0.0
16188,18601,city_21,0.624,,No relevent experience,Part time course,Masters,STEM,14,,,1,17,0.0
2026,6655,city_67,0.855,,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,3,81,0.0
7850,3472,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,>20,500-999,Pvt Ltd,>4,54,1.0
882,2311,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,2,,Pvt Ltd,never,17,0.0
919,31586,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,4,0.0
5853,11177,city_24,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,7,,,1,70,0.0
4336,17123,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,,,,,32,0.0
7867,27174,city_136,0.897,,No relevent experience,no_enrollment,Masters,Humanities,10,,,2,97,0.0
15884,27459,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,never,32,1.0
8981,9007,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,1,167,0.0
688,23714,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,114,0.0
1698,32590,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,56,1.0
5398,4611,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,never,33,0.0
15079,23109,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,1,104,0.0
1736,29504,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,55,0.0
2703,18181,city_24,0.698,,Has relevent experience,Full time course,High School,,5,,,1,43,1.0
6339,2030,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,1,26,0.0
9445,27087,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,1,42,0.0
14994,9623,city_103,0.92,Female,No relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,79,0.0
12568,5953,city_71,0.884,,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,2,50,0.0
4999,2386,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,16,0.0
8858,17131,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,5,,,never,144,0.0
5855,9063,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,5000-9999,Pvt Ltd,never,67,1.0
18778,16433,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,>4,3,0.0
17608,28240,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Early Stage Startup,1,35,0.0
8203,6254,city_103,0.92,Male,No relevent experience,no_enrollment,,,5,,,never,94,0.0
9565,10768,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,>20,1000-4999,Pvt Ltd,1,44,0.0
8837,12480,city_65,0.802,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,170,0.0
2892,31082,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,13,10000+,Public Sector,4,90,1.0
16110,23567,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,>20,,,>4,58,0.0
2171,22590,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,Humanities,7,,,>4,36,1.0
15978,16342,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,,,1,104,1.0
10029,28786,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,Arts,12,<10,Early Stage Startup,never,50,0.0
13708,4608,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,59,1.0
16907,26827,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,13,,,2,12,0.0
12572,24044,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,264,1.0
9880,33315,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,18,0.0
11531,11429,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,29,0.0
6048,3740,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,1000-4999,Pvt Ltd,1,15,1.0
1060,19438,city_39,0.898,Male,No relevent experience,Full time course,Graduate,STEM,6,,,never,47,0.0
3437,17222,city_102,0.804,Male,Has relevent experience,no_enrollment,High School,,12,,Pvt Ltd,1,20,0.0
1853,19805,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,6,1.0
17089,32777,city_61,0.913,Male,No relevent experience,Full time course,High School,,12,,,>4,83,0.0
9809,22463,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,4,104,1.0
8955,21557,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,109,0.0
17644,17723,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,100-500,NGO,1,34,0.0
9818,24070,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,8,50-99,Funded Startup,4,33,0.0
18845,29313,city_21,0.624,Male,Has relevent experience,no_enrollment,,,12,10/49,Pvt Ltd,>4,134,1.0
3206,17058,city_36,0.893,Male,No relevent experience,no_enrollment,Graduate,STEM,2,,,1,45,1.0
1849,32221,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,15,100-500,Pvt Ltd,3,4,0.0
3509,32632,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,never,83,0.0
960,1943,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,3,,,1,9,1.0
15910,24195,city_115,0.789,Female,No relevent experience,Full time course,Phd,STEM,19,,NGO,>4,7,0.0
3632,8841,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Public Sector,1,314,0.0
16046,8676,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,>4,43,0.0
5036,13444,city_114,0.926,Other,No relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,139,0.0
3601,4081,city_114,0.926,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,2,5,1.0
14744,18941,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,>4,73,0.0
17183,17572,city_65,0.802,Male,No relevent experience,Full time course,Graduate,STEM,7,,,never,6,1.0
18569,17737,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,2,38,1.0
3041,11281,city_75,0.939,Female,No relevent experience,no_enrollment,Primary School,,3,,,never,11,0.0
16378,4309,city_99,0.915,Female,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,never,62,1.0
213,5573,city_160,0.92,,No relevent experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,50,0.0
16498,3739,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Public Sector,3,32,0.0
2577,22838,city_21,0.624,Male,No relevent experience,Full time course,High School,,<1,,,never,15,1.0
17420,400,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,23,0.0
11275,28257,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Funded Startup,>4,9,0.0
12567,27739,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,9,,,1,73,0.0
11136,26077,city_16,0.91,,No relevent experience,Full time course,High School,,1,10000+,Pvt Ltd,1,23,1.0
11953,31918,city_10,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,1,80,0.0
7131,3771,city_160,0.92,,No relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Public Sector,1,38,0.0
3309,16980,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,5,,,never,66,0.0
1645,17093,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,53,0.0
11560,2787,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Other,2,25,0.0
4564,12118,city_152,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,56,0.0
16096,28555,city_21,0.624,Male,No relevent experience,Full time course,High School,,3,,,never,28,1.0
16614,32825,city_16,0.91,,Has relevent experience,Part time course,High School,,4,1000-4999,Pvt Ltd,1,84,0.0
931,6304,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,1000-4999,Public Sector,>4,142,0.0
16129,7635,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,11,50-99,,,270,0.0
4546,32255,city_23,0.899,,Has relevent experience,,Graduate,Business Degree,2,,,1,28,0.0
13920,29097,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,22,0.0
15527,31212,city_75,0.939,,No relevent experience,,Masters,STEM,10,,,never,13,0.0
8446,10812,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,10000+,Pvt Ltd,2,32,1.0
13984,11018,city_74,0.579,Male,Has relevent experience,Full time course,Masters,Humanities,3,50-99,Pvt Ltd,1,21,1.0
16323,27222,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,160,0.0
4708,5207,city_21,0.624,,No relevent experience,Full time course,High School,,7,,,,76,0.0
1361,8001,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,74,0.0
15459,5824,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1,94,0.0
2899,24161,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,never,52,1.0
16529,13094,city_114,0.926,Female,Has relevent experience,Part time course,Graduate,Other,5,50-99,Pvt Ltd,4,138,0.0
11490,22980,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,7,,,1,56,1.0
11636,25089,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,never,8,0.0
13149,28674,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,>4,33,1.0
2783,30832,city_149,0.6890000000000001,Other,No relevent experience,,Graduate,STEM,1,,,1,116,1.0
1709,3162,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,500-999,Pvt Ltd,4,48,0.0
16855,10528,city_149,0.6890000000000001,Male,No relevent experience,Full time course,Graduate,STEM,2,100-500,,1,39,0.0
3092,18308,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,4,10/49,,1,22,0.0
4228,29014,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,33,0.0
98,7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0
16343,21288,city_74,0.579,,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,62,1.0
18653,15667,city_114,0.926,Male,Has relevent experience,,Graduate,STEM,10,10000+,Pvt Ltd,1,262,0.0
14199,22417,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,1,28,1.0
10957,8475,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,never,66,0.0
7431,5597,city_117,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,154,0.0
13703,25584,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,1,226,0.0
1876,2904,city_102,0.804,Male,Has relevent experience,no_enrollment,High School,,5,,,1,82,0.0
12413,10954,city_83,0.923,,No relevent experience,Full time course,High School,,4,,,,55,0.0
5507,33213,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,37,0.0
7514,14994,city_136,0.897,,Has relevent experience,no_enrollment,Masters,Other,20,10000+,Pvt Ltd,1,70,0.0
10831,33075,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Pvt Ltd,1,47,0.0
14291,4891,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,12,10/49,Pvt Ltd,1,105,0.0
17699,28974,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,5,10/49,Pvt Ltd,2,49,0.0
18974,16685,city_128,0.527,Male,Has relevent experience,Full time course,High School,,5,,,never,98,0.0
9769,1458,city_83,0.923,,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,>4,6,1.0
14032,14868,city_136,0.897,,Has relevent experience,Full time course,Masters,STEM,8,10000+,Pvt Ltd,2,260,0.0
7475,29199,city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,5,<10,Pvt Ltd,1,20,0.0
17605,14349,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,111,0.0
16221,6850,city_104,0.924,Female,Has relevent experience,no_enrollment,High School,,>20,50-99,,>4,90,0.0
13032,10552,city_21,0.624,Female,Has relevent experience,Full time course,Masters,STEM,7,500-999,Pvt Ltd,1,50,1.0
4452,21321,city_90,0.698,Male,No relevent experience,Full time course,Masters,STEM,5,,,2,20,0.0
7141,29631,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,21,0.0
6041,27528,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,3,8,0.0
1321,6157,city_104,0.924,Male,Has relevent experience,no_enrollment,Phd,STEM,12,<10,Funded Startup,1,51,0.0
10672,5645,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,48,0.0
9330,564,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,111,1.0
4513,18069,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,31,0.0
13451,3169,city_21,0.624,Female,No relevent experience,Full time course,High School,,7,,,1,26,1.0
17221,4859,city_114,0.926,Male,Has relevent experience,Full time course,High School,,5,100-500,Pvt Ltd,1,116,0.0
10620,7944,city_123,0.738,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,48,1.0
8030,30528,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,3,5000-9999,Pvt Ltd,1,31,0.0
318,22194,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Funded Startup,1,204,0.0
13988,4049,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,29,0.0
10736,26979,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,10/49,Pvt Ltd,3,44,1.0
4563,31357,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,50,0.0
2370,25954,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,130,0.0
17259,31502,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,,>20,100-500,Pvt Ltd,3,57,0.0
